id	features
1	防犯カメラ,敷地内ゴミ置場
2	防犯カメラ
3	
4	ルームシェア可,ペット相談可
5	ワンルーム,DIY可,地下室
6	オール電化,地下室,最上階
7	
8	メゾネット,床下収納
9	
10	
11	トランクルーム,宅配ボックス
12	防音室
13	エレベーター,洗面所独立
14	ルームシェア可,洗面所独立
15	TVモニタ付きインタホン
16	追い焚き風呂
17	TVモニタ付きインタホン,バイク置場あり,角部屋
18	
19	ルーフバルコニー付,駐車場2台以上
20	最上階
21	
22	追い焚き風呂
23	追い焚き風呂,宅配ボックス,シューズボックス
24	駐車場あり,角部屋,敷地内駐車場
25	バス・トイレ別,最上階
26	敷地内駐車場
27	プロパンガス,洗面所独立
28	宅配ボックス,バス・トイレ別,ウォークインクローゼット
29	防音室,専用庭
30	ロフト,ワンルーム,洗面所独立
31	地下室,敷地内ゴミ置場
32	
33	
34	ルームシェア可,TVモニタ付きインタホン
35	フローリング,ケーブルテレビ,トランクルーム
36	
37	
38	楽器相談可
39	ケーブルテレビ,エレベーター,IHコンロ
40	楽器相談可,防音室,エレベーター
41	
42	
43	エアコン付き,管理人有り,バイク置場あり
44	
45	
46	
47	メゾネット,ロフト,テレビ・通信
48	オール電化,カスタマイズ可,床下収納
49	ワンルーム,専用庭
50	女性限定,ウォークインクローゼット
51	テレビ・通信
52	
53	駐車場あり,駐輪場あり
54	女性限定,ルーフバルコニー付,IHコンロ
55	ルームシェア可,地下室
56	床下収納,即入居可,敷地内ゴミ置場
57	敷地内ゴミ置場,追い焚き風呂
58	
59	バイク置場あり
60	エアコン付き,エレベーター,セキュリティ会社加入済
61	
62	ケーブルテレビ,ルーフバルコニー付
63	防音室,地下室,ペット相談可
64	メゾネット,敷地内駐車場,ウォークインクローゼット
65	セキュリティ会社加入済
66	オートロック
67	駐輪場あり,最上階,管理人有り
68	
69	バイク置場あり,エアコン付き
70	浴室乾燥機,女性限定,ペット相談可
71	浴室乾燥機,管理人有り
72	インターネット無料,ロフト
73	オートロック,インターネット接続可,ルーフバルコニー付
74	即入居可,バス・トイレ別,洗面所独立
75	駐輪場あり,敷地内駐車場,ワンルーム
76	高齢者歓迎,ルーフバルコニー付,ペット相談可
77	
78	洗面所独立,IHコンロ,高齢者歓迎
79	インターネット無料,プロパンガス
80	カスタマイズ可,デザイナーズ物件,インターネット無料
81	地下室,バス・トイレ別,角部屋
82	バス・トイレ別,楽器相談可
83	
84	
85	カスタマイズ可
86	敷地内駐車場,都市ガス
87	トランクルーム,ルームシェア可
88	洗面所独立
89	シューズボックス,ワンルーム,浴室乾燥機
90	DIY可,駐車場2台以上
91	駐車場2台以上,敷地内ゴミ置場,即入居可
92	メゾネット
93	シューズボックス,TVモニタ付きインタホン
94	洗面所独立
95	
96	ルーフバルコニー付,ペット相談可,女性限定
97	フローリング,管理人有り
98	
99	最上階,地下室,宅配ボックス
100	シューズボックス,インターネット接続可
101	バス・トイレ別
102	敷地内駐車場,エアコン付き
103	ルームシェア可
104	敷地内駐車場
105	防犯カメラ
106	
107	TVモニタ付きインタホン,ロフト,洗面所独立
108	最上階
109	
110	浴室乾燥機
111	駐輪場あり,インターネット接続可,オール電化
112	
113	
114	
115	
116	都市ガス,洗面所独立
117	洗面所独立,ワンルーム
118	ウォークインクローゼット,ワンルーム
119	テレビ・通信,TVモニタ付きインタホン,駐車場あり
120	浴室乾燥機,トランクルーム,IHコンロ
121	敷地内ゴミ置場,洗面所独立,メゾネット
