id	features
1	木製,中国製
2	オフィス用
3	
4	
5	ディスプレイ配置可能
6	ラテン風,アーム高さ調節可能
7	
8	回転可能,近代的なデザイン,ベッド一体型
9	近代的なデザイン
10	
11	中華風
12	オフィス用,中国製
13	
14	現代的デザイン,料理店用,アーム高さ調節可能
15	和風,ベッド一体型
16	
17	イタリア製
18	モーター付き,布貼地,ルネサンス的なデザイン
19	メタルフレーム
20	背もたれなし,西洋風,アーム高さ調節可能
21	モーター付き
22	背もたれなし
23	ポリカーボネート製,肘掛け付き,キャンプ用
24	クッション性抜群,ヘッドレスト付き,アームなし
25	メッシュ貼地,ラテン風
26	背もたれつき
27	布貼地
28	
29	メッシュ貼地
30	プラスチック製,ラテン風
31	近代的なデザイン,ルネサンス的なデザイン,デザイナーズ
32	メッシュ貼地,アーム高さ調節可能
33	メタルフレーム,布貼地,通気性抜群
34	クッション性抜群,ミニ机付き,法事用
35	アームなし,リクライニング可能
36	高さ調節可能
37	
38	オフィス用,プラスチック製
39	背もたれなし
40	リクライニング可能,近代的なデザイン,フットレスト付き
41	スピーカー付属,レザー製,アーム高さ調節可能
42	ディスプレイ配置可能
43	
44	料理店用
45	背もたれつき,低反発,クッション性抜群
46	背もたれつき,リクライニング可能,メッシュ貼地
47	オフィス用,キャンプ用
48	スピーカー付属,ラテン風,法事用
49	
50	
51	キャンプ用
52	ヘッドレスト付き
53	
54	メタルフレーム,メッシュ貼地
55	中華風,西洋風,肘掛け付き
56	メタルフレーム,モーター付き
57	キャスター付き,メタルフレーム,ベッド一体型
58	
59	フットレスト付き,中華風,24回払い無金利
60	和風
61	ルネサンス的なデザイン,メタルフレーム
62	スチール製,布貼地,プラスチック製
63	
64	イタリア製
65	
66	
67	肘掛け付き
68	レザー製
69	現代的デザイン,クッション性抜群,高さ調節可能
70	オーダーメイド可能,メタルフレーム
71	24回払い無金利
72	リクライニング可能,スチール製
73	
74	ヘッドレスト付き
75	近代的なデザイン,メッシュ貼地
76	スチール製,アーム高さ調節可能
77	自宅用
78	ルネサンス的なデザイン,通気性抜群
79	クッション性抜群,ラテン風,西洋風
80	
81	リクライニング可能
82	
83	アームなし,自宅用,イタリア製
84	料理店用,メタルフレーム,中国製
